Competitions,Hours,Day,Frequency,Date,Lac_CFU_i,Lac_CFU_f,Comp_CFU_i,Comp_CFU_f,Pop_CFU_i,Pop_CFU_f,Lac_proportion_i,Lac_proportion_f,Comp_proportion_i,Comp_proportion_f,Replicate,Lac_marker,Competitor,ln(final_Lac / initial_Lac),ln(final_Comp / initial_Comp),Selection_rate_lac,Selection_rate_comp
PA14 Ancestor vs new G1,24,1,1:9,2024-03-01,3.00E+04,6.40E+08,5.50E+06,4.00E+06,5.53E+06,6.44E+08,0.0054250,0.993788820,0.994575045,0.006211180,1,new G1,PA14 Ancestor,9.968026074,-0.318453731,10.2864798,-10.2864798
PA14 Ancestor vs new G1,24,1,1:9,2024-03-01,2.00E+04,4.30E+08,3.80E+06,2.60E+07,3.82E+06,4.56E+08,0.0052356,0.942982456,0.994764398,0.057017544,2,new G1,PA14 Ancestor,9.975808214,1.923095471,8.052712743,-8.052712743
PA14 Ancestor vs new G1,24,1,1:9,2024-03-01,2.00E+04,1.90E+08,2.80E+06,3.10E+07,2.82E+06,2.21E+08,0.0070922,0.859728507,0.992907801,0.140271493,3,new G1,PA14 Ancestor,9.159047078,2.404367787,6.75467929,-6.75467929
PA14 Ancestor vs new G1,24,1,9:1,2024-03-01,5.70E+05,3.36E+09,6.10E+05,2.00E+06,1.18E+06,3.36E+09,0.4830508,0.999405116,0.516949153,0.000594884,1,new G1,PA14 Ancestor,8.681815171,1.187443502,7.494371669,-7.494371669
PA14 Ancestor vs new G1,24,1,9:1,2024-03-01,2.00E+05,2.36E+09,6.40E+05,1.00E+06,8.40E+05,2.36E+09,0.2380952,0.999576451,0.761904762,0.000423549,2,new G1,PA14 Ancestor,9.37585481,0.446287103,8.929567708,-8.929567708
PA14 Ancestor vs new G1,24,1,9:1,2024-03-01,2.70E+05,1.76E+09,7.30E+05,2.00E+06,1.00E+06,1.76E+09,0.2700000,0.998864926,0.730000000,0.001135074,3,new G1,PA14 Ancestor,8.782402408,1.007857925,7.774544483,-7.774544483
PA14 Ancestor vs B1,24,1,1:99,2024-03-01,1.00E+05,6.00E+06,5.90E+06,4.70E+08,6.00E+06,4.76E+08,0.0166667,0.012605042,0.983333333,0.987394958,1,B1,PA14 Ancestor,4.094344562,4.377780344,-0.283435782,0.283435782
PA14 Ancestor vs B1,24,1,1:99,2024-03-01,9.00E+04,1.90E+07,6.60E+06,6.00E+08,6.69E+06,6.19E+08,0.0134529,0.030694669,0.986547085,0.969305331,2,B1,PA14 Ancestor,5.352384588,4.509860006,0.842524582,-0.842524582
PA14 Ancestor vs B1,24,1,1:99,2024-03-01,1.00E+05,1.00E+06,7.00E+06,8.30E+08,7.10E+06,8.31E+08,0.0140845,0.001203369,0.985915493,0.998796631,3,B1,PA14 Ancestor,2.302585093,4.775515552,-2.472930459,2.472930459
PA14 Ancestor vs B1,24,1,1:9,2024-03-01,2.00E+05,1.00E+08,5.80E+06,6.10E+08,6.00E+06,7.10E+08,0.0333333,0.140845070,0.966666667,0.859154930,1,B1,PA14 Ancestor,6.214608098,4.65560104,1.559007059,-1.559007059
PA14 Ancestor vs B1,24,1,1:9,2024-03-01,6.00E+05,9.00E+07,5.10E+06,5.00E+08,5.70E+06,5.90E+08,0.1052632,0.152542373,0.894736842,0.847457627,2,B1,PA14 Ancestor,5.010635294,4.585367559,0.425267735,-0.425267735
PA14 Ancestor vs B1,24,1,1:9,2024-03-01,1.00E+05,2.40E+07,7.90E+06,5.20E+08,8.00E+06,5.44E+08,0.0125000,0.044117647,0.987500000,0.955882353,3,B1,PA14 Ancestor,5.480638923,4.186966052,1.293672871,-1.293672871
PA14 Ancestor vs B1,24,1,9:1,2024-03-01,3.30E+06,9.30E+08,6.00E+05,1.40E+08,3.90E+06,1.07E+09,0.8461538,0.869158879,0.153846154,0.130841121,1,B1,PA14 Ancestor,5.641262118,5.452468046,0.188794071,-0.188794071
PA14 Ancestor vs B1,24,1,9:1,2024-03-01,2.10E+06,9.20E+08,8.00E+05,1.30E+08,2.90E+06,1.05E+09,0.7241379,0.876190476,0.275862069,0.123809524,2,B1,PA14 Ancestor,6.082436325,5.090678002,0.991758324,-0.991758324
PA14 Ancestor vs B1,24,1,9:1,2024-03-01,2.20E+06,7.50E+08,3.00E+05,2.40E+08,2.50E+06,9.90E+08,0.8800000,0.757575758,0.120000000,0.242424242,3,B1,PA14 Ancestor,5.831615846,6.684611728,-0.852995882,0.852995882
PA14 Ancestor vs B1,24,1,9:1,2021-09-07,1.80E+06,6.00E+07,2.33E+07,1.01E+09,2.51E+07,1.07E+09,0.0717131,0.056074766,0.928286853,0.943925234,1,B1,PA14 Ancestor,3.506557897,3.769252249,-0.262694352,0.262694352
PA14 Ancestor vs B1,24,1,9:1,2021-09-14,1.40E+06,1.00E+08,2.25E+07,1.11E+09,2.39E+07,1.21E+09,0.0585774,0.082644628,0.941422594,0.917355372,1,B1,PA14 Ancestor,4.268697949,3.898599985,0.370097964,-0.370097964
PA14 Ancestor vs B1,24,1,9:1,2021-09-14,4.00E+05,1.40E+08,2.21E+07,1.31E+09,2.25E+07,1.45E+09,0.0177778,0.096551724,0.982222222,0.903448276,2,B1,PA14 Ancestor,5.857933154,4.082204808,1.775728347,-1.775728347
